pokemon,acquire_as,acquisition_kind,acquisition_index,acquisition_method,acquisition_location,encounter_index,encounter_location,encounter_method,weather,rarity_percent,level_min,level_max,pokemon_declared_badge,acquisition_declared_badge,declared_badge_used,computed_minimum_badge,gate_reasons,review_flags,validation_result
Meowstic,Espurr,primary,0,wild_encounter,Route 5,2,Motostoke Riverbank,Random,Fog,35,26,28,1,,1,8,Fog unlocks after 8 badge(s) | Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Slurpuff,Swirlix,primary,0,wild_encounter,Route 5,1,Route 5,Random,All Weather,14,16,18,1,,1,1,Route 5 is accessible after 1 badge(s),,OK
Slurpuff,Swirlix,primary,0,wild_encounter,Route 5,2,Route 5,Overworld,All Weather,30,19,21,1,,1,1,Route 5 is accessible after 1 badge(s),,OK
Araquanid,Dewpider,primary,0,wild_encounter,Route 5,1,Route 5,Random,All Weather,5,16,18,1,,1,1,Route 5 is accessible after 1 badge(s),,OK
Araquanid,Dewpider,primary,0,wild_encounter,Route 5,2,Motostoke Riverbank,Overworld,Raining,5,26,28,1,,1,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Wynaut,Wynaut,primary,0,breeding,Route 5 Pokémon Nursery,1,Route 5 Pokémon Nursery,Breed Wobbuffet holding Lax Incense,Not applicable,100,1,1,1,,1,1,Verified special acquisition requires 1 badge(s) | Route 5 Pokémon Nursery is accessible after 1 badge(s),,OK
Wobbuffet,Wobbuffet,primary,0,wild_encounter,Route 5,1,Route 5,Overworld,All Weather,10,19,21,1,,1,1,Route 5 is accessible after 1 badge(s),,OK
Wobbuffet,Wobbuffet,primary,0,wild_encounter,Route 5,2,Bridge Field,Random,Normal Weather,25,26,28,1,,1,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Sirfetch'd,Galarian Farfetch'd,primary,0,wild_encounter,Route 5,1,Route 5,Overworld,All Weather,5,19,21,1,,1,1,Route 5 is accessible after 1 badge(s),,OK
Sirfetch'd,Galarian Farfetch'd,primary,0,wild_encounter,Route 5,2,Giant's Mirror,Overworld,Overcast,5,28,30,1,,1,2,Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Lanturn,Chinchou,primary,0,wild_encounter,Hulbury,1,Hulbury,Fishing,All Weather,20,20,24,1,,1,1,Hulbury is accessible after 1 badge(s),,OK
Lanturn,Chinchou,primary,0,wild_encounter,Hulbury,2,Giant's Mirror,Fishing,All Weather,10,26,28,1,,1,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Scrafty,Scraggy,primary,0,wild_encounter,Galar Mine No. 2,1,Galar Mine No. 2,Overworld,All Weather,15,20,24,2,,2,2,Galar Mine No. 2 is accessible after 2 badge(s),,OK
Scrafty,Scraggy,primary,0,wild_encounter,Galar Mine No. 2,2,Galar Mine No. 2,Random,All Weather,15,20,24,2,,2,2,Galar Mine No. 2 is accessible after 2 badge(s),,OK
Stunfisk,Galarian Stunfisk,primary,0,wild_encounter,Galar Mine No. 2,1,Galar Mine No. 2,Random,All Weather,5,20,24,2,,2,2,Galar Mine No. 2 is accessible after 2 badge(s),,OK
Stunfisk,Galarian Stunfisk,primary,0,wild_encounter,Galar Mine No. 2,2,Galar Mine No. 2,Wandering,All Weather,,25,25,2,,2,2,Galar Mine No. 2 is accessible after 2 badge(s) | Lv. 25 minimum requires 1 badge(s) under the wild catch cap,,OK
Shuckle,Shuckle,primary,0,wild_encounter,Dusty Bowl,1,Dusty Bowl,Wandering,Normal Weather,,34,34,3,,3,3,Lv. 34 minimum requires 3 badge(s) under the wild catch cap,,OK
Shuckle,Shuckle,primary,0,wild_encounter,Dusty Bowl,2,Dusty Bowl,Wandering,Overcast,,34,34,3,,3,3,Lv. 34 minimum requires 3 badge(s) under the wild catch cap,,OK
Whiscash,Barboach,primary,0,wild_encounter,Motostoke,1,Motostoke,Fishing,All Weather,10,7,11,0,,0,0,,,OK
Whiscash,Barboach,primary,0,wild_encounter,Motostoke,2,South Lake Miloch,Fishing,All Weather,9,11,13,0,,0,0,,,OK
Gastrodon,Shellos,primary,0,wild_encounter,Galar Mine No. 2,1,Galar Mine No. 2,Overworld,All Weather,25,20,24,2,,2,2,Galar Mine No. 2 is accessible after 2 badge(s),,OK
Gastrodon,Shellos,primary,0,wild_encounter,Galar Mine No. 2,2,Galar Mine No. 2,Random,All Weather,10,20,24,2,,2,2,Galar Mine No. 2 is accessible after 2 badge(s),,OK
Golisopod,Wimpod,primary,0,wild_encounter,Galar Mine No. 2,1,Galar Mine No. 2,Overworld,All Weather,25,20,24,2,,2,2,Galar Mine No. 2 is accessible after 2 badge(s),,OK
Golisopod,Wimpod,primary,0,wild_encounter,Galar Mine No. 2,2,Galar Mine No. 2,Random,All Weather,20,20,24,2,,2,2,Galar Mine No. 2 is accessible after 2 badge(s),,OK
Barbaracle,Binacle,primary,0,wild_encounter,Galar Mine No. 2,1,Galar Mine No. 2,Overworld,All Weather,15,20,24,2,,2,2,Galar Mine No. 2 is accessible after 2 badge(s),,OK
Barbaracle,Binacle,primary,0,wild_encounter,Galar Mine No. 2,2,Galar Mine No. 2,Random,All Weather,10,20,24,2,,2,2,Galar Mine No. 2 is accessible after 2 badge(s),,OK
Grimmsnarl,Impidimp,primary,0,wild_encounter,Stony Wilderness,1,Stony Wilderness,Random,Normal Weather,20,27,29,2,,2,2,Lv. 27 minimum requires 2 badge(s) under the wild catch cap,,OK
Grimmsnarl,Impidimp,primary,0,wild_encounter,Stony Wilderness,2,Stony Wilderness,Random,Raining,20,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Hatterene,Hatenna,primary,0,wild_encounter,Motostoke Outskirts,1,Motostoke Outskirts,Overworld,All Weather,10,22,26,2,,2,2,Motostoke Outskirts is accessible after 2 badge(s) | Lv. 22 minimum requires 1 badge(s) under the wild catch cap,,OK
Hatterene,Hatenna,primary,0,wild_encounter,Motostoke Outskirts,2,Hammerlocke Hills,Random,Fog,25,28,30,2,,2,8,Fog unlocks after 8 badge(s) | Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Salazzle,Salandit,primary,0,wild_encounter,Stony Wilderness,1,Stony Wilderness — Area 3,Overworld,Intense Sun,5,28,30,2,,2,2,Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,OK
Salazzle,Salandit,primary,0,wild_encounter,Stony Wilderness,2,Stony Wilderness,Overworld,Intense Sun,15,28,30,2,,2,2,Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,OK
Bisharp,Pawniard,primary,0,wild_encounter,Motostoke Outskirts,1,Motostoke Outskirts,Random,All Weather,20,21,24,2,,2,2,Motostoke Outskirts is accessible after 2 badge(s) | Lv. 21 minimum requires 1 badge(s) under the wild catch cap,,OK
Bisharp,Pawniard,primary,0,wild_encounter,Motostoke Outskirts,2,Giant's Cap,Random,Snowstorm,30,26,28,2,,2,3,Snowstorm unlocks after 3 badge(s) | Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Throh,Throh,primary,0,in_game_trade,Circhester — in-game trade,1,Circhester,In-game trade — give Vanillish,Not applicable,100,,,5,,5,5,Verified special acquisition requires 5 badge(s) | Circhester is accessible after 5 badge(s),,OK
Sawk,Sawk,primary,0,wild_encounter,Motostoke Outskirts,1,Motostoke Outskirts,Overworld,All Weather,5,22,26,2,,2,2,Motostoke Outskirts is accessible after 2 badge(s) | Lv. 22 minimum requires 1 badge(s) under the wild catch cap,,OK
Sawk,Sawk,primary,0,wild_encounter,Motostoke Outskirts,2,Motostoke Riverbank,Overworld,Overcast,5,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Weezing,Koffing,primary,0,wild_encounter,Giant's Mirror,1,Giant's Mirror,Random,Raining,20,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Weezing,Koffing,primary,0,wild_encounter,Giant's Mirror,2,Giant's Mirror,Random,Thunderstorm,10,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Sudowoodo,Bonsly,primary,0,wild_encounter,Bridge Field,1,Bridge Field,Overworld,Sandstorm,40,27,29,3,,3,3,Sandstorm unlocks after 3 badge(s) | Lv. 27 minimum requires 2 badge(s) under the wild catch cap,,OK
Sudowoodo,Bonsly,primary,0,wild_encounter,Bridge Field,2,Stony Wilderness — Area 2,Overworld,Sandstorm,45,28,30,3,,3,3,Sandstorm unlocks after 3 badge(s) | Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,OK
Clefable,Clefairy,primary,0,wild_encounter,Motostoke Riverbank,1,Motostoke Riverbank,Overworld,Fog,40,26,28,8,,8,8,Fog unlocks after 8 badge(s) | Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Clefable,Clefairy,primary,0,wild_encounter,Motostoke Riverbank,2,Giant's Cap — Area 2,Overworld,Fog,10,28,30,8,,8,8,Fog unlocks after 8 badge(s) | Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,OK
Togekiss,Togepi,primary,0,wild_encounter,Bridge Field,1,Bridge Field,Random,Normal Weather,2,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Togekiss,Togepi,primary,0,wild_encounter,Bridge Field,2,Bridge Field,Random,Overcast,2,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Snorlax,Munchlax,primary,0,wild_encounter,Motostoke Riverbank,1,Motostoke Riverbank,Overworld,Normal Weather,5,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Whimsicott,Cottonee,primary,0,wild_encounter,Stony Wilderness,1,Stony Wilderness,Random,Overcast,40,27,29,2,,2,2,Lv. 27 minimum requires 2 badge(s) under the wild catch cap,,OK
Rhyperior,Rhyhorn,primary,0,wild_encounter,Bridge Field,1,Bridge Field,Random,Sandstorm,30,26,28,3,,3,3,Sandstorm unlocks after 3 badge(s) | Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Rhyperior,Rhyhorn,primary,0,wild_encounter,Bridge Field,2,Giant's Cap,Underground,Normal Weather,30,31,34,3,,3,3,Lv. 31 minimum requires 3 badge(s) under the wild catch cap,,OK
Gothitelle,Gothitelle,primary,0,max_raid_battle,Stony Wilderness,1,,,,,,,5,5,5,5,4★ Max Raids require 5 badge(s),,OK
Gothitelle,Gothitelle,alternate,1,wild_encounter,Giant's Cap,1,Giant's Cap — Area 2,Overworld,Fog,50,28,30,5,8,8,8,Fog unlocks after 8 badge(s) | Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,OK
Gothitelle,Gothitelle,alternate,1,wild_encounter,Giant's Cap,2,Giant's Cap,Overworld,Fog,40,28,30,5,8,8,8,Fog unlocks after 8 badge(s) | Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,OK
Escavalier,Karrablast,primary,0,wild_encounter,Motostoke Riverbank,1,Motostoke Riverbank,Random,Raining,35,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Escavalier,Karrablast,primary,0,wild_encounter,Motostoke Riverbank,2,Bridge Field,Random,Overcast,30,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Accelgor,Shelmet,primary,0,wild_encounter,Bridge Field,1,Bridge Field,Random,Overcast,10,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Accelgor,Shelmet,primary,0,wild_encounter,Bridge Field,2,Motostoke Riverbank,Random,Raining,10,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Beheeyem,Elgyem,primary,0,wild_encounter,Bridge Field,1,Bridge Field,Overworld,Normal Weather,10,27,29,2,,2,2,Lv. 27 minimum requires 2 badge(s) under the wild catch cap,,OK
Beheeyem,Elgyem,primary,0,wild_encounter,Bridge Field,2,Bridge Field,Overworld,Overcast,10,27,29,2,,2,2,Lv. 27 minimum requires 2 badge(s) under the wild catch cap,,OK
Beartic,Cubchoo,primary,0,wild_encounter,Bridge Field,1,Bridge Field,Random,Snowing,40,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Beartic,Cubchoo,primary,0,wild_encounter,Bridge Field,2,Bridge Field,Random,Snowstorm,40,26,28,2,,2,3,Snowstorm unlocks after 3 badge(s) | Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Braviary,Rufflet,primary,0,wild_encounter,Stony Wilderness,1,Bridge Field,Random,Sandstorm,25,26,28,2,,2,3,Sandstorm unlocks after 3 badge(s) | Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Braviary,Rufflet,primary,0,wild_encounter,Stony Wilderness,2,Stony Wilderness — Area 2,Overworld,Normal Weather,5,28,30,2,,2,2,Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,OK
Drapion,Skorupi,primary,0,wild_encounter,Giant's Mirror,1,Giant's Mirror,Random,Raining,30,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Drapion,Skorupi,primary,0,wild_encounter,Giant's Mirror,2,Giant's Mirror,Random,Thunderstorm,20,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Chandelure,Litwick,primary,0,wandering_encounter,Motostoke — Gym,1,Motostoke — Gym,Wandering,All Weather,,25,25,2,,2,2,Motostoke — Gym is accessible after 2 badge(s) | Lv. 25 minimum requires 1 badge(s) under the wild catch cap,,OK
Chandelure,Litwick,primary,0,wandering_encounter,Motostoke — Gym,2,Bridge Field,Random,Intense Sun,25,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Malamar,Inkay,primary,0,wild_encounter,Bridge Field,1,Bridge Field,Random,Normal Weather,20,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Malamar,Inkay,primary,0,wild_encounter,Bridge Field,2,Bridge Field,Random,Intense Sun,30,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Weavile,Sneasel,primary,0,wild_encounter,Motostoke Riverbank,1,Motostoke Riverbank,Overworld,Snowing,40,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Weavile,Sneasel,primary,0,wild_encounter,Motostoke Riverbank,2,Motostoke Riverbank,Overworld,Snowstorm,40,26,28,2,,2,3,Snowstorm unlocks after 3 badge(s) | Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Mawile,Mawile,primary,0,wild_encounter,Bridge Field,1,Bridge Field,Random,Snowstorm,10,26,28,3,,3,3,Snowstorm unlocks after 3 badge(s) | Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Maractus,Maractus,primary,0,wild_encounter,Bridge Field,1,Bridge Field,Random,Intense Sun,10,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Maractus,Maractus,primary,0,wild_encounter,Bridge Field,2,Bridge Field,Overworld,Intense Sun,10,27,29,2,,2,2,Lv. 27 minimum requires 2 badge(s) under the wild catch cap,,OK
Sigilyph,Sigilyph,primary,0,wild_encounter,Motostoke Riverbank,1,Motostoke Riverbank,Overworld,Intense Sun,10,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Sigilyph,Sigilyph,primary,0,wild_encounter,Motostoke Riverbank,2,Bridge Field,Random,Intense Sun,10,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Lucario,Riolu,primary,0,wild_encounter,Giant's Cap,1,Giant's Cap — Area 2,Overworld,Snowstorm,5,28,30,3,,3,3,Snowstorm unlocks after 3 badge(s) | Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,OK
Lucario,Riolu,primary,0,wild_encounter,Giant's Cap,2,Giant's Cap,Overworld,Snowstorm,5,28,30,3,,3,3,Snowstorm unlocks after 3 badge(s) | Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,OK
Torkoal,Torkoal,primary,0,wild_encounter,Motostoke Riverbank,1,Motostoke Riverbank,Overworld,Intense Sun,10,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Torkoal,Torkoal,primary,0,wild_encounter,Motostoke Riverbank,2,Giant's Mirror,Random,Intense Sun,10,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Mimikyu,Mimikyu,primary,0,wild_encounter,Giant's Mirror,1,Giant's Mirror,Random,Fog,3,26,28,8,8,8,8,Fog unlocks after 8 badge(s) | Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Mimikyu,Mimikyu,alternate,1,wandering_encounter,Bridge Field,1,,Wandering,Fog,,50,50,8,8,8,8,Fog unlocks after 8 badge(s) | Lv. 50 minimum requires 6 badge(s) under the wild catch cap,,OK
Mimikyu,Mimikyu,alternate,2,max_raid_battle,Wild Area,1,,,,,,,8,8,8,8,5★ Max Raids require 8 badge(s),,OK
Copperajah,Cufant,primary,0,wild_encounter,Bridge Field,1,Bridge Field,Overworld,Normal Weather,30,27,29,2,,2,2,Lv. 27 minimum requires 2 badge(s) under the wild catch cap,,OK
Copperajah,Cufant,primary,0,wild_encounter,Bridge Field,2,Bridge Field,Overworld,Overcast,30,27,29,2,,2,2,Lv. 27 minimum requires 2 badge(s) under the wild catch cap,,OK
Qwilfish,Qwilfish,primary,0,wild_encounter,Bridge Field,1,Bridge Field,Fishing,All Weather,30,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Qwilfish,Qwilfish,primary,0,wild_encounter,Bridge Field,2,Bridge Field,Surf,Raining,20,40,43,2,,2,4,Lv. 40 minimum requires 4 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Jellicent,Frillish,primary,0,wild_encounter,Bridge Field,1,Bridge Field,Overworld,Thunderstorm,10,27,29,2,,2,2,Lv. 27 minimum requires 2 badge(s) under the wild catch cap,,OK
Toxapex,Mareanie,primary,0,wild_encounter,Giant's Mirror,1,Giant's Mirror,Fishing,All Weather,35,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Toxapex,Mareanie,primary,0,wild_encounter,Giant's Mirror,2,Motostoke Riverbank,Overworld,Thunderstorm,25,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Cramorant,Cramorant,primary,0,wild_encounter,Bridge Field,1,Bridge Field,Random,Raining,10,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Cramorant,Cramorant,primary,0,wild_encounter,Bridge Field,2,Bridge Field,Random,Thunderstorm,10,26,28,2,,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Toxtricity,Toxel,primary,0,gift,Route 5 — Pokémon Nursery,1,Route 5 — Pokémon Nursery,Gift,Not applicable,100,1,1,1,,1,1,Verified special acquisition requires 1 badge(s) | Route 5 — Pokémon Nursery is accessible after 1 badge(s),,OK
Toxtricity,Toxel,alternate,1,wild_encounter,Motostoke Riverbank,1,,Overworld,Thunderstorm,5,26,28,1,2,2,2,Lv. 26 minimum requires 2 badge(s) under the wild catch cap,,OK
Sandaconda,Silicobra,primary,0,wild_encounter,Route 6,1,Route 6,Random,All Weather,30,28,30,3,,3,3,Route 6 is accessible after 3 badge(s) | Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,OK
Sandaconda,Silicobra,primary,0,wild_encounter,Route 6,2,Route 6,Overworld,All Weather,10,29,33,3,,3,3,Route 6 is accessible after 3 badge(s) | Lv. 29 minimum requires 2 badge(s) under the wild catch cap,,OK
Hippowdon,Hippopotas,primary,0,wild_encounter,Route 6,1,Route 6,Random,All Weather,30,28,30,3,,3,3,Route 6 is accessible after 3 badge(s) | Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,OK
Hippowdon,Hippopotas,primary,0,wild_encounter,Route 6,2,Route 6,Overworld,All Weather,10,29,33,3,,3,3,Route 6 is accessible after 3 badge(s) | Lv. 29 minimum requires 2 badge(s) under the wild catch cap,,OK
Durant,Durant,primary,0,wild_encounter,Route 6,1,Route 6,Random,All Weather,20,28,30,3,,3,3,Route 6 is accessible after 3 badge(s) | Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,OK
Durant,Durant,primary,0,wild_encounter,Route 6,2,Route 6,Overworld,All Weather,20,29,33,3,,3,3,Route 6 is accessible after 3 badge(s) | Lv. 29 minimum requires 2 badge(s) under the wild catch cap,,OK
Heatmor,Heatmor,primary,0,wild_encounter,Giant's Mirror,1,Giant's Mirror,Overworld,Intense Sun,5,28,30,2,,2,2,Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,OK
Heatmor,Heatmor,primary,0,wild_encounter,Giant's Mirror,2,Route 6,Random,All Weather,5,28,30,2,,2,3,Route 6 is accessible after 3 badge(s) | Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Heliolisk,Helioptile,primary,0,wild_encounter,Giant's Mirror,1,Giant's Mirror,Overworld,Thunderstorm,40,28,30,2,,2,2,Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,OK
Heliolisk,Helioptile,primary,0,wild_encounter,Giant's Mirror,2,Route 6,Overworld,All Weather,29,29,33,2,,2,3,Route 6 is accessible after 3 badge(s) | Lv. 29 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Hawlucha,Hawlucha,primary,0,wild_encounter,Hammerlocke Hills,1,Hammerlocke Hills,Random,Overcast,5,28,30,2,,2,2,Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,OK
Hawlucha,Hawlucha,primary,0,wild_encounter,Hammerlocke Hills,2,Route 6,Random,All Weather,2,28,30,2,,2,3,Route 6 is accessible after 3 badge(s) | Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Flygon,Trapinch,primary,0,wild_encounter,Route 6,1,Route 6,Overworld,All Weather,1,29,33,3,,3,3,Route 6 is accessible after 3 badge(s) | Lv. 29 minimum requires 2 badge(s) under the wild catch cap,,OK
Haxorus,Axew,primary,0,wild_encounter,Hammerlocke Hills,1,Hammerlocke Hills,Overworld,Sandstorm,2,29,31,3,,3,3,Sandstorm unlocks after 3 badge(s) | Lv. 29 minimum requires 2 badge(s) under the wild catch cap,,OK
Haxorus,Axew,primary,0,wild_encounter,Hammerlocke Hills,2,Route 6,Overworld,All Weather,5,29,33,3,,3,3,Route 6 is accessible after 3 badge(s) | Lv. 29 minimum requires 2 badge(s) under the wild catch cap,,OK
Runerigus,Galarian Yamask,primary,0,max_raid_battle,Watchtower Ruins,1,,,,,,,0,,0,0,Verified special acquisition is available before the first badge,,OK
Runerigus,Galarian Yamask,alternate,1,wild_encounter,Route 6,1,Route 6,Overworld,All Weather,35,29,33,0,3,3,3,Route 6 is accessible after 3 badge(s) | Lv. 29 minimum requires 2 badge(s) under the wild catch cap,,OK
Cofagrigus,Unovan Yamask,primary,0,in_game_trade,Ballonlea — in-game trade,1,Ballonlea,In-game trade — give Galarian Yamask,Not applicable,100,,,4,,4,4,Verified special acquisition requires 4 badge(s) | Ballonlea is accessible after 4 badge(s),,OK
Aegislash,Honedge,primary,0,wild_encounter,Hammerlocke Hills,1,Hammerlocke Hills,Random,Snowstorm,15,28,30,3,,3,3,Snowstorm unlocks after 3 badge(s) | Lv. 28 minimum requires 2 badge(s) under the wild catch cap,,OK
Aegislash,Honedge,primary,0,wild_encounter,Hammerlocke Hills,2,Hammerlocke Hills,Overworld,Fog,44,29,31,3,,3,8,Fog unlocks after 8 badge(s) | Lv. 29 minimum requires 2 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Polteageist,Sinistea,primary,0,wild_encounter,Glimwood Tangle,1,Glimwood Tangle,Random,All Weather,10,34,36,4,,4,4,Glimwood Tangle is accessible after 4 badge(s) | Lv. 34 minimum requires 3 badge(s) under the wild catch cap,,OK
Polteageist,Sinistea,primary,0,wild_encounter,Glimwood Tangle,2,Glimwood Tangle,Random,All Weather,1,34,36,4,,4,4,Glimwood Tangle is accessible after 4 badge(s) | Lv. 34 minimum requires 3 badge(s) under the wild catch cap,,OK
Indeedee,Indeedee,primary,0,wild_encounter,Glimwood Tangle,1,Glimwood Tangle,Random,All Weather,5,34,36,4,,4,4,Glimwood Tangle is accessible after 4 badge(s) | Lv. 34 minimum requires 3 badge(s) under the wild catch cap,,OK
Trevenant,Phantump,primary,0,wild_encounter,Glimwood Tangle,1,Glimwood Tangle,Random,All Weather,10,34,36,4,,4,4,Glimwood Tangle is accessible after 4 badge(s) | Lv. 34 minimum requires 3 badge(s) under the wild catch cap,,OK
Shiinotic,Shiinotic,primary,0,wild_encounter,Glimwood Tangle,1,Glimwood Tangle,Random,All Weather,20,34,36,4,,4,4,Glimwood Tangle is accessible after 4 badge(s) | Lv. 34 minimum requires 3 badge(s) under the wild catch cap,,OK
Passimian,Passimian,primary,0,wild_encounter,Glimwood Tangle,1,Glimwood Tangle,Random,All Weather,9,34,36,4,,4,4,Glimwood Tangle is accessible after 4 badge(s) | Lv. 34 minimum requires 3 badge(s) under the wild catch cap,,OK
Morpeko,Morpeko,primary,0,wild_encounter,Route 7,1,Route 7,Overworld,All Weather,5,37,41,5,,5,5,Route 7 is accessible after 5 badge(s) | Lv. 37 minimum requires 4 badge(s) under the wild catch cap,,OK
Morpeko,Morpeko,primary,0,wild_encounter,Route 7,2,Route 9 — Outer Spikemuth,Random,All Weather,5,40,44,5,,5,6,Route 9 — Outer Spikemuth is accessible after 6 badge(s) | Lv. 40 minimum requires 4 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Falinks,Falinks,primary,0,wild_encounter,Route 8,1,Route 8,Random,All Weather,2,38,40,5,,5,5,Route 8 is accessible after 5 badge(s) | Lv. 38 minimum requires 4 badge(s) under the wild catch cap,,OK
Falinks,Falinks,primary,0,wild_encounter,Route 8,2,Route 8,Wandering,All Weather,,40,40,5,,5,5,Route 8 is accessible after 5 badge(s) | Lv. 40 minimum requires 4 badge(s) under the wild catch cap,,OK
Turtonator,Turtonator,primary,0,wild_encounter,Lake of Outrage,1,Lake of Outrage,Random,Intense Sun,2,50,52,6,,6,6,Lake of Outrage is accessible after 6 badge(s) | Lv. 50 minimum requires 6 badge(s) under the wild catch cap,,OK
Togedemaru,Togedemaru,primary,0,wild_encounter,Route 8,1,Route 8,Overworld,All Weather,5,39,41,5,,5,5,Route 8 is accessible after 5 badge(s) | Lv. 39 minimum requires 4 badge(s) under the wild catch cap,,OK
Togedemaru,Togedemaru,primary,0,wild_encounter,Route 8,2,Lake of Outrage,Random,Snowstorm,13,50,52,5,,5,6,Lake of Outrage is accessible after 6 badge(s) | Snowstorm unlocks after 3 badge(s) | Lv. 50 minimum requires 6 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Frosmoth,Snom,primary,0,wild_encounter,Route 8 — Steamdrift Way,1,Route 8 — Steamdrift Way,Random,All Weather,40,38,41,5,,5,5,Route 8 — Steamdrift Way is accessible after 5 badge(s) | Lv. 38 minimum requires 4 badge(s) under the wild catch cap,,OK
Frosmoth,Snom,primary,0,wild_encounter,Route 8 — Steamdrift Way,2,Route 8 — Steamdrift Way,Overworld,All Weather,40,39,43,5,,5,5,Route 8 — Steamdrift Way is accessible after 5 badge(s) | Lv. 39 minimum requires 4 badge(s) under the wild catch cap,,OK
